pvm lämpötila
1.1.2015 -2 C
1.1.2015 -2 C
1.1.2015 -1 C
1.1.2015 -1 C
1.1.2015 0 C
1.1.2015 0 C
1.1.2015 0 C
1.1.2015 0 C
1.1.2015 0 C
1.1.2015 0 C
1.1.2015 0 C
1.1.2015 0 C
1.1.2015 -1 C
1.1.2015 -1 C
1.1.2015 -1 C
1.1.2015 -1 C
1.1.2015 -1 C
1.1.2015 -2 C
1.1.2015 -2 C
1.1.2015 -2 C
1.1.2015 -2 C
1.1.2015 -2 C
1.1.2015 -2 C
1.1.2015 -1 C
2.1.2015 0 C
2.1.2015 0 C
2.1.2015 0 C
2.1.2015 0 C
2.1.2015 0 C
2.1.2015 0 C
2.1.2015 0 C
2.1.2015 0 C
2.1.2015 0 C
2.1.2015 0 C
2.1.2015 0 C
2.1.2015 0 C
2.1.2015 0 C
2.1.2015 0 C
2.1.2015 0 C
2.1.2015 0 C
2.1.2015 0 C
2.1.2015 0 C
2.1.2015 0 C
2.1.2015 0 C
2.1.2015 0 C
2.1.2015 0 C
2.1.2015 0 C
2.1.2015 -1 C
3.1.2015 -1 C
3.1.2015 -1 C
3.1.2015 -1 C
3.1.2015 -2 C
3.1.2015 -3 C
3.1.2015 -3 C
3.1.2015 -4 C
3.1.2015 -4 C
3.1.2015 -4 C
3.1.2015 -4 C
3.1.2015 -5 C
3.1.2015 -5 C
3.1.2015 -5 C
3.1.2015 -4 C
3.1.2015 -4 C
3.1.2015 -4 C
3.1.2015 -4 C
3.1.2015 -4 C
3.1.2015 -5 C
3.1.2015 -5 C
3.1.2015 -5 C
3.1.2015 -6 C
3.1.2015 -6 C
3.1.2015 -6 C
4.1.2015 -7 C
4.1.2015 -7 C
4.1.2015 -8 C
4.1.2015 -8 C
4.1.2015 -10 C
4.1.2015 -10 C
4.1.2015 -9 C
4.1.2015 -9 C
4.1.2015 -9 C
4.1.2015 -9 C
4.1.2015 -10 C
4.1.2015 -13 C
4.1.2015 -14 C
4.1.2015 -12 C
4.1.2015 -12 C
4.1.2015 -14 C
4.1.2015 -14 C
4.1.2015 -14 C
4.1.2015 -15 C
4.1.2015 -15 C
4.1.2015 -16 C
4.1.2015 -16 C
4.1.2015 -16 C
4.1.2015 -18 C
5.1.2015 -19 C
5.1.2015 -20 C
5.1.2015 -21 C
5.1.2015 -22 C
5.1.2015 -21 C
5.1.2015 -21 C
5.1.2015 -22 C
5.1.2015 -22 C
5.1.2015 -23 C
5.1.2015 -23 C
5.1.2015 -23 C
5.1.2015 -23 C
5.1.2015 -23 C
5.1.2015 -24 C
5.1.2015 -25 C
5.1.2015 -24 C
5.1.2015 -25 C
5.1.2015 -24 C
5.1.2015 -24 C
5.1.2015 -23 C
5.1.2015 -25 C
5.1.2015 -25 C
5.1.2015 -24 C
5.1.2015 -25 C
6.1.2015 -27 C
6.1.2015 -28 C
6.1.2015 -28 C
6.1.2015 -28 C
6.1.2015 -29 C
6.1.2015 -30 C
6.1.2015 -30 C
