Vuosi;Kuukausi;Päivä;Kellonaika;Ilmanlämpötila(degC)
2018;1;1;00:00;-1
2018;1;1;02:00;-1
2018;1;1;04:00;-1
2018;1;1;06:00;-2
2018;1;1;08:00;-1
2018;1;1;10:00;-1
2018;1;1;12:00;-1
2018;1;1;14:00;-1
2018;1;1;16:00;0
2018;1;1;18:00;0
2018;1;1;20:00;0
2018;1;1;22:00;0
2018;1;2;00:00;1
2018;1;2;02:00;3
2018;1;2;04:00;3
2018;1;2;06:00;3
2018;1;2;08:00;2
2018;1;2;10:00;3
2018;1;2;12:00;2
2018;1;2;14:00;2
2018;1;2;16:00;2
2018;1;2;18:00;2
2018;1;2;20:00;3
2018;1;2;22:00;3
2018;1;3;00:00;2
2018;1;3;02:00;2
2018;1;3;04:00;2
2018;1;3;06:00;1
2018;1;3;08:00;1
2018;1;3;10:00;1
2018;1;3;12:00;0
2018;1;3;14:00;0
2018;1;3;16:00;0
2018;1;3;18:00;0
2018;1;3;20:00;0
2018;1;3;22:00;0
2018;1;4;00:00;0
2018;1;4;02:00;0
2018;1;4;04:00;0
2018;1;4;06:00;0
2018;1;4;08:00;0
2018;1;4;10:00;0
2018;1;4;12:00;0
2018;1;4;14:00;0
2018;1;4;16:00;0
2018;1;4;18:00;1
2018;1;4;20:00;1
2018;1;4;22:00;1
2018;1;5;00:00;1
2018;1;5;02:00;1
2018;1;5;04:00;2
2018;1;5;06:00;2
2018;1;5;08:00;2
2018;1;5;10:00;3
2018;1;5;12:00;3
2018;1;5;14:00;2
2018;1;5;16:00;3
2018;1;5;18:00;2
2018;1;5;20:00;2
2018;1;5;22:00;1
2018;1;6;00:00;1
2018;1;6;02:00;0
2018;1;6;04:00;0
2018;1;6;06:00;0
2018;1;6;08:00;0
2018;1;6;10:00;0
2018;1;6;12:00;1
2018;1;6;14:00;1
2018;1;6;16:00;1
2018;1;6;18:00;1
2018;1;6;20:00;1
2018;1;6;22:00;-1
2018;1;7;00:00;-2
2018;1;7;02:00;-3
2018;1;7;04:00;-4
2018;1;7;06:00;-6
2018;1;7;08:00;-6
2018;1;7;10:00;-5
2018;1;7;12:00;-4
2018;1;7;14:00;-4
2018;1;7;16:00;-4
2018;1;7;18:00;-3
2018;1;7;20:00;-3
2018;1;7;22:00;-2
2018;1;8;00:00;-2
2018;1;8;02:00;-2
2018;1;8;04:00;-2
2018;1;8;06:00;-3
2018;1;8;08:00;-4
2018;1;8;10:00;-3
2018;1;8;12:00;-3
2018;1;8;14:00;-5
2018;1;8;16:00;-6
2018;1;8;18:00;-6
2018;1;8;20:00;-8
2018;1;8;22:00;-8
2018;1;9;00:00;-7
2018;1;9;02:00;-6
2018;1;9;04:00;-4
2018;1;9;06:00;-3
2018;1;9;08:00;-2
2018;1;9;10:00;-2
2018;1;9;12:00;-1
2018;1;9;14:00;-1
2018;1;9;16:00;0
2018;1;9;18:00;0
2018;1;9;20:00;0
2018;1;9;22:00;0
2018;1;10;00:00;-1
2018;1;10;02:00;-1
2018;1;10;04:00;-2
2018;1;10;06:00;-2
2018;1;10;08:00;-3
2018;1;10;10:00;-3
2018;1;10;12:00;-3
2018;1;10;14:00;-3
2018;1;10;16:00;-3
2018;1;10;18:00;-3
2018;1;10;20:00;-3
2018;1;10;22:00;-3
2018;1;11;00:00;-3
2018;1;11;02:00;-3
2018;1;11;04:00;-3
2018;1;11;06:00;-4
2018;1;11;08:00;-4
2018;1;11;10:00;-4
2018;1;11;12:00;-5
2018;1;11;14:00;-5
2018;1;11;16:00;-5
2018;1;11;18:00;-6
2018;1;11;20:00;-7
2018;1;11;22:00;-7
2018;1;12;00:00;-8
2018;1;12;02:00;-8
2018;1;12;04:00;-9
2018;1;12;06:00;-9
2018;1;12;08:00;-9
2018;1;12;10:00;-8
2018;1;12;12:00;-7
2018;1;12;14:00;-7
2018;1;12;16:00;-7
2018;1;12;18:00;-7
2018;1;12;20:00;-7
2018;1;12;22:00;-6
2018;1;13;00:00;-6
2018;1;13;02:00;-6
2018;1;13;04:00;-6
2018;1;13;06:00;-7
2018;1;13;08:00;-7
2018;1;13;10:00;-6
2018;1;13;12:00;-6
2018;1;13;14:00;-6
2018;1;13;16:00;-6
2018;1;13;18:00;-5
2018;1;13;20:00;-5
2018;1;13;22:00;-5
2018;1;14;00:00;-5
2018;1;14;02:00;-5
2018;1;14;04:00;-4
2018;1;14;06:00;-5
2018;1;14;08:00;-4
2018;1;14;10:00;-4
2018;1;14;12:00;-5
2018;1;14;14:00;-4
2018;1;14;16:00;-4
2018;1;14;18:00;-4
2018;1;14;20:00;-4
2018;1;14;22:00;-5
2018;1;15;00:00;-6
2018;1;15;02:00;-6
2018;1;15;04:00;-7
2018;1;15;06:00;-7
2018;1;15;08:00;-7
2018;1;15;10:00;-8
